2018-08-22 20:22:01 INFO  root:41 - retrieved employee with id: 1
2018-08-22 20:22:03 INFO  root:77 - retrieved employee account: Employee [id=1, username=admin, password=pass, name=null, lastname=null, isManager=0, manager=0, email=null]
2018-08-22 20:22:05 INFO  root:115 - retrieved employee account: Employee [id=1, username=admin, password=pass, name=null, lastname=null, isManager=0, manager=0, email=null]
2018-08-22 20:22:07 INFO  root:147 - Retrieved employee with id 1
2018-08-22 20:27:49 INFO  root:41 - retrieved employee with id: 1
2018-08-22 20:27:51 INFO  root:77 - retrieved employee account: Employee [id=1, username=admin, password=pass, name=null, lastname=null, isManager=0, manager=0, email=null]
2018-08-22 20:27:53 INFO  root:115 - retrieved employee account: Employee [id=1, username=admin, password=pass, name=null, lastname=null, isManager=0, manager=0, email=null]
2018-08-22 20:27:55 INFO  root:147 - Retrieved employee with id 1
2018-08-22 20:37:02 INFO  root:41 - retrieved employee with id: 1
2018-08-22 20:37:03 INFO  root:77 - retrieved employee account: Employee [id=1, username=admin, password=pass, name=null, lastname=null, isManager=0, manager=0, email=null]
2018-08-22 20:37:06 INFO  root:115 - retrieved employee account: Employee [id=1, username=admin, password=pass, name=null, lastname=null, isManager=0, manager=0, email=null]
2018-08-22 20:37:08 INFO  root:147 - Retrieved employee with id 1
